Rank,Title,Ratting
206,Mad Max: Fury Road ,8.1
207,The Truman Show ,8.1
208,A Wednesday ,8.3
209,Amores Perros ,8.1
210,Butch Cassidy and the Sundance Kid ,8.1
211,Before Sunrise ,8.1
212,Hachi: A Dog's Tale ,8.1
213,Nausicaä of the Valley of the Wind ,8.1
214,The Princess Bride ,8.1
215,Prisoners ,8.1
216,The Maltese Falcon ,8.1
217,The Nights of Cabiria ,8.2
218,Harry Potter and the Deathly Hallows: Part 2 ,8.1
219,Catch Me If You Can ,8.1
220,Rocky ,8.1
221,Paper Moon ,8.2
222,The Grapes of Wrath ,8.1
223,Diabolique ,8.1
224,"Monsters, Inc. ",8.1
225,Barry Lyndon ,8.1
226,Donnie Darko ,8.1
227,Gandhi ,8.1
228,Touch of Evil ,8.1
229,Dunkirk ,8.1
230,The Terminator ,8.0
231,Groundhog Day ,8.0
232,The Wizard of Oz ,8.1
233,La Haine ,8.1
234,Annie Hall ,8.1
235,The Bourne Ultimatum ,8.0
236,8½ ,8.1
237,Jaws ,8.0
238,The Best Years of Our Lives ,8.1
239,Dead Poets Society ,8.1
240,In the Mood for Love ,8.1
241,The Legend of 1900 ,8.1
242,The Help ,8.1
243,Infernal Affairs ,8.1
244,Twelve Monkeys ,8.0
245,"Paris, Texas ",8.1
246,Beauty and the Beast ,8.0
247,The Handmaiden ,8.1
248,The Battle of Algiers ,8.1
249,Castle in the Sky ,8.1
250,Pirates of the Caribbean: The Curse of the Black Pearl ,8.0
